match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
KR_7918375589,15.22.724.5161,420,910,CLASSIC,1,69,7,246,22,143,0,64,7,92,246,126,68,36,134,119,111,266,11,3,145,518,1,True
KR_7918430070,15.22.724.5161,420,1438,CLASSIC,0,22,246,887,11,7,1,64,78,555,799,126,897,5,50,236,517,266,234,154,804,497,0,True
KR_7918432835,15.22.724.5161,420,1346,CLASSIC,1,246,120,147,142,-1,0,555,22,-1,76,246,421,64,103,236,201,799,5,61,51,432,1,True
KR_7918504312,15.22.724.5161,420,1122,CLASSIC,0,246,60,166,39,555,1,142,58,-1,804,11,799,5,61,236,201,68,59,55,22,147,0,True
KR_7918525085,15.22.724.5161,420,1689,CLASSIC,0,246,-1,13,555,51,1,78,126,61,64,43,799,163,157,804,111,98,91,711,895,44,0,True
KR_7918556749,15.22.724.5161,420,1096,CLASSIC,1,-1,22,246,81,122,0,107,61,-1,59,145,421,5,112,136,80,14,62,268,804,60,1,True
KR_7918565428,15.22.724.5161,420,1426,CLASSIC,1,107,24,-1,246,120,0,432,104,61,19,78,14,11,163,18,201,421,203,103,22,89,1,True
KR_7918585504,15.22.724.5161,420,1532,CLASSIC,1,22,122,7,246,64,0,119,136,107,246,555,24,254,61,145,518,799,234,268,21,89,1,True
KR_7918592785,15.22.724.5161,420,1137,CLASSIC,1,11,799,200,897,-1,0,-1,-1,61,246,-1,68,104,268,110,12,126,36,163,18,201,1,True
KR_7918620051,15.22.724.5161,420,971,CLASSIC,0,56,30,126,555,142,1,80,56,107,30,518,897,246,517,800,57,54,9,777,145,89,0,True
KR_7918623278,15.22.724.5161,420,1198,CLASSIC,0,61,-1,-1,897,-1,1,76,64,78,10,246,68,5,517,202,60,85,245,799,81,526,0,True
KR_7918636620,15.22.724.5161,420,1838,CLASSIC,1,246,114,145,-1,-1,0,64,10,799,24,-1,421,234,893,115,78,157,517,126,110,111,1,True
KR_7918645573,15.22.724.5161,420,1747,CLASSIC,0,60,799,897,555,80,1,78,22,142,555,61,3,246,13,81,43,14,517,163,221,350,0,True
KR_7918669619,15.22.724.5161,420,1617,CLASSIC,0,163,30,22,11,53,1,804,246,120,54,24,14,233,61,901,497,133,200,134,15,201,0,True
KR_7918834067,15.22.724.5161,420,1766,CLASSIC,1,39,-1,799,555,-1,0,23,518,517,12,114,950,254,10,81,78,126,246,238,145,526,1,True
KR_7918856847,15.22.724.5161,420,1706,CLASSIC,0,30,22,246,-1,27,1,555,7,246,119,126,41,203,61,800,518,85,143,799,221,12,0,True
KR_7918895667,15.22.724.5161,420,1002,CLASSIC,0,518,150,126,246,85,1,69,81,142,30,-1,24,254,103,222,432,17,950,55,22,117,0,True
KR_7918916096,15.22.724.5161,420,1458,CLASSIC,0,142,145,126,246,64,1,64,246,78,800,69,24,517,4,15,117,799,59,711,236,201,0,True
KR_7918923550,15.22.724.5161,420,944,CLASSIC,0,64,800,85,142,126,1,555,78,-1,114,120,24,517,268,110,497,266,246,61,804,201,0,True
KR_7918935082,15.22.724.5161,420,1688,CLASSIC,1,136,246,112,126,61,0,76,119,35,799,7,887,5,800,202,43,14,64,84,145,518,1,True
KR_7918936633,15.22.724.5161,420,1789,CLASSIC,1,555,-1,69,61,201,0,518,142,246,799,78,24,64,84,81,235,14,245,18,145,497,1,True
KR_7918948159,15.22.724.5161,420,931,CLASSIC,1,134,10,126,61,85,0,143,107,201,120,81,122,5,142,110,53,799,24,163,119,12,1,True
KR_7918948435,15.22.724.5161,420,1088,CLASSIC,1,51,69,64,120,142,0,517,60,61,799,-1,68,234,4,222,12,54,246,13,145,555,1,True
KR_7918956958,15.22.724.5161,420,1459,CLASSIC,0,-1,81,76,-1,78,1,107,91,518,-1,-1,799,234,142,45,7,68,517,126,29,12,0,True
KR_7918962348,15.22.724.5161,420,2101,CLASSIC,1,35,236,64,-1,800,0,120,7,64,81,68,421,91,3,910,78,266,246,134,30,12,1,True
KR_7918983400,15.22.724.5161,420,1760,CLASSIC,0,246,145,-1,114,268,1,64,12,7,-1,36,799,517,14,81,89,887,5,134,42,518,0,True
KR_7918995993,15.22.724.5161,420,1311,CLASSIC,0,555,517,246,69,-1,1,10,246,-1,-1,142,58,120,84,81,89,799,64,61,145,44,0,True
KR_7918997719,15.22.724.5161,420,1429,CLASSIC,0,107,800,60,246,114,1,61,246,78,555,777,58,104,103,22,201,799,5,142,145,518,0,True
KR_7919024042,15.22.724.5161,420,1204,CLASSIC,1,78,119,64,91,11,0,555,122,142,518,76,83,246,800,81,526,799,517,126,110,12,1,True
KR_7919046089,15.22.724.5161,420,1268,CLASSIC,1,12,142,120,246,126,0,11,555,157,246,120,122,234,245,115,80,516,30,236,18,432,1,True
KR_7919056374,15.22.724.5161,420,1203,CLASSIC,0,246,-1,68,107,76,1,134,61,-1,166,20,39,36,126,22,432,799,5,10,804,44,0,True
KR_7919076449,15.22.724.5161,420,929,CLASSIC,1,55,76,246,107,11,0,114,35,555,44,142,516,91,7,22,78,68,64,517,42,518,1,True
KR_7919089317,15.22.724.5161,420,1467,CLASSIC,0,142,555,76,246,166,1,122,81,142,166,7,799,113,55,22,147,58,64,3,69,78,0,True
KR_7919117419,15.22.724.5161,420,1144,CLASSIC,1,166,107,-1,897,246,0,61,24,12,517,246,68,11,893,30,44,133,120,800,22,147,1,True
KR_7919125316,15.22.724.5161,420,1774,CLASSIC,0,60,246,114,119,91,1,64,166,68,266,555,421,62,517,145,518,78,254,103,498,497,0,True
KR_7919155991,15.22.724.5161,420,1491,CLASSIC,0,142,44,114,30,76,1,12,234,555,107,246,799,120,61,202,432,164,517,777,81,89,0,True
KR_7919231311,15.22.724.5161,420,1163,CLASSIC,1,145,61,11,-1,122,0,246,120,-1,24,85,107,64,134,18,497,240,234,13,895,78,1,True
KR_7919237459,15.22.724.5161,420,1687,CLASSIC,0,517,30,804,246,85,1,-1,-1,76,150,-1,122,120,61,145,111,897,91,7,498,12,0,True
KR_7919256937,15.22.724.5161,420,1514,CLASSIC,0,64,7,246,107,804,1,11,142,555,107,19,799,427,268,22,89,164,234,126,115,497,0,True
KR_7919291294,15.22.724.5161,420,912,CLASSIC,0,-1,246,163,-1,-1,1,246,30,24,85,126,122,5,166,804,12,54,76,55,42,89,0,True
